0.85	0.05	2.581162943893163	2.410095589730235	0.325	0.175	1.920184575989938	0.05706580145930126	1.76165150752901	0.03261420666735746	1.701316697532899	0.05224811142025158
0.95	0.05	0.9350679514914795	0.2752395849427378	0.6	0.1	2.061542771811235	0.06126816468351244	1.965060294336278	0.03571522835794976	1.856497851922546	0.04728680993057569
1.150	0.05	0.9702209835263191	0.183133926262931	0.75	0.05	1.803840706566371	0.08021086925633865	1.678792984136884	0.04333128415903423	1.437250909509271	0.05087004071594912
1.275	0.075	1.978440717344139	0.3861455078462562	0.85	0.05	1.838738308685514	0.09119462483906642	1.497602420779206	0.04091560781547376	1.242673632650355	0.04580378545001366
1.425	0.075	0.6220893721028591	0.07400554619363878	0.95	0.05	1.627161711921526	0.08415615266048838	1.334437158299255	0.03981572195762715	1.132045608396885	0.043573788003827
1.600	0.1	0.4970846479277782	0.04952322813331576	1.050	0.05	1.199990595888762	0.05817560519998083	1.329960659733642	0.04642338774259801	0.8661443226288972	0.03317297453565933
1.850	0.15	0.4184875654597364	0.03888985376089752	1.150	0.05	1.265366594464015	0.07196330924781655	0.9584816734367103	0.03437961720093417	0.799122710595018	0.03308660236302828
2.250	0.25	0.1875388137285592	0.01540095219876874	1.275	0.075	0.8816407371530953	0.03992980415609186	0.8035253363238324	0.02660330334431367	0.6622760255173867	0.02479677514685638
3.0	0.5	0.07087522802653987	0.006984797617223803	1.425	0.075	0.6552076884156199	0.03233249121529161	0.6397779052208813	0.02582265902821395	0.4797021802377059	0.02022833322474015
4.0	0.5	0.01178190169097803	0.002098666802678014	1.600	0.1	0.4886021875229302	0.02307719267942985	0.4085602166474173	0.01578623621760183	0.3542754861013834	0.01548168607312547
5.750	1.250	0.005967117901868872	0.002894280960003364	1.850	0.15	0.3646616776441496	0.01771371723571845	0.2892939016025461	0.01266352860954065	0.2515899172259565	0.01246388086309033
0	0	0	0	2.250	0.25	0.1695937457120083	0.008365043868156384	0.1355820809934721	0.006694957898036352	0.0954599248663236	0.00506449267345294
0	0	0	0	3.0	0.5	0.04793036422669324	0.00288729237760792	0.04940435182066452	0.003799789361829661	0.02893410275862175	0.002276262002922051
0	0	0	0	4.0	0.5	0.01159424288861073	0.001608659704020903	0.01233404198569016	0.002587678189723618	0.009395367921488408	0.002516533528030032
0	0	0	0	5.750	1.250	0.001715411026598964	0.000433653978658875	0.00138110080948337	0.0006599008826719219	0.005361146790799774	0.005438470150241248
