pT	sig	err
0.325	0.648575	0.172703474
0.6	0.688175	0.045575651
0.75	0.70065	0.051195801
0.85	0.6755	0.050435702
0.95	0.70482	0.044958759
1.05	0.58398	0.110813537
1.15	0.54476	0.098308901
1.275	0.4637	0.057690294
1.425	0.41676	0.056416044
1.6	0.32234	0.033868717
1.85	0.2405	0.023955166
2.25	0.13506	0.013034569
2.75	0.06032	0.007690254
3.5	0.02002	0.002908608
4.5	0.00468	0.001496663
5.5	0.00181	0.001225928
