pT	sig	err
0.325	2.992	0.102029408
0.6	3.021	0.170795199
0.75	2.54	0.139298241
0.85	2.186	0.114789547
0.95	1.82918	0.092205043
1.05	1.54534	0.077541021
1.15	1.31588	0.067954838
1.275	1.06484	0.051850072
1.425	0.82784	0.04264704
1.6	0.61688	0.031885733
1.85	0.40146	0.020830987
2.25	0.210278	0.011510104
2.75	0.09706	0.006646608
3.5	0.03686	0.003165438
4.5	0.01194	0.002204541
5.5	0.00337	0.001174053
