pT	sig	err
0.325	0.502425	0.067446275
0.6	0.6503	0.044543237
0.75	0.699225	0.058906706
0.85	0.61522	0.206266817
0.95	0.5267	0.075903952
1.05	0.63344	0.205258983
1.15	0.50204	0.088734492
1.275	0.47196	0.067062806
1.425	0.3994	0.049081565
1.6	0.32358	0.037901055
1.85	0.22924	0.023138928
2.25	0.12364	0.011884444
2.75	0.06006	0.008369588
3.5	0.02026	0.003170173
4.5	0.00468	0.001574802
5.5	0.005458	0.010051746
