pT	sig	errpT	errsig
0.325	1.03772	0	0.06908139
0.6	1.10108	0	0.018230261
0.75	1.12104	0	0.02047832
0.85	1.0808	0	0.020174281
0.95	1.40964	0	0.017983504
1.05	1.16796	0	0.044325415
1.15	1.08952	0	0.03932356
1.275	0.9274	0	0.023076118
1.425	0.83352	0	0.022566418
1.6	0.64468	0	0.013547487
1.85	0.481	0	0.009582067
2.25	0.27012	0	0.005213828
2.75	0.12064	0	0.003076101
3.5	0.04004	0	0.001163443
4.5	0.00936	0	0.000598665
5.5	0.00362	0	0.000490371
