pT	sig	errpT	errsig
0.325	0.80388	0	0.02697851
0.6	1.04048	0	0.017817295
0.75	1.11876	0	0.023562682
0.85	1.23044	0	0.082506727
0.95	1.0534	0	0.030361581
1.05	1.26688	0	0.082103593
1.15	1.00408	0	0.035493797
1.275	0.94392	0	0.026825123
1.425	0.7988	0	0.019632626
1.6	0.64716	0	0.015160422
1.85	0.45848	0	0.009255571
2.25	0.24728	0	0.004753777
2.75	0.12012	0	0.003347835
3.5	0.04052	0	0.001268069
4.5	0.00936	0	0.000629921
5.5	0.010916	0	0.004020698
