pT	sig	err
0.325	0.59975	0.146673106
0.6	0.73325	0.067725106
0.75	0.73775	0.076426435
0.85	0.686	0.068738635
0.95	0.643	0.211468674
1.05	0.674	0.251
1.15	0.5256	0.106573918
1.275	0.4776	0.074155243
1.425	0.4092	0.071484264
1.6	0.346	0.050249378
1.85	0.2564	0.034698703
2.25	0.1458	0.019235384
2.75	0.07072	0.01369708
3.5	0.02172	0.004339355
4.5	0.00448	0.001783255
5.5	0.00175	0.001157584
