pT	sig	err
0.325	0.9695	1.001011988
0.6	0.733	0.065947024
0.75	0.74875	0.082127949
0.85	0.7565	0.081541401
0.95	0.69175	0.070611614
1.05	0.585	0.123125952
1.15	0.6316	0.180596235
1.275	0.5076	0.090768937
1.425	0.4806	0.107638283
1.6	0.34	0.050497525
1.85	0.2558	0.036878178
2.25	0.1418	0.018601075
2.75	0.0593	0.010079683
3.5	0.02102	0.004173727
4.5	0.00582	0.003074085
5.5	0.001505	0.001152562
