pT	sig	err
0.325	1.745	0.704840407
0.6	1.4	0.173781472
0.75	1.3975	0.169115345
0.85	1.275	0.1396424
0.95	1.31	1.007372821
1.05	2.086	3.002249157
1.15	1.292	0.612290781
1.275	0.89	0.156204994
1.425	0.7774	0.122564269
1.6	0.6168	0.083886829
1.85	0.4262	0.055569776
2.25	0.2512	0.033406586
2.75	0.1332	0.025039968
3.5	0.0656	0.016186414
4.5	0.04046	0.02150093
5.5	0.0645	0.200183441
