pT	sig	err
0.325	0.545	0.100677704
0.6	0.69025	0.066723309
0.75	0.7325	0.089224436
0.85	0.7614	0.08179242
0.95	0.544	0.084616783
1.05	1.0534	2.000941778
1.15	0.5364	0.116404467
1.275	0.518	0.109845346
1.425	0.4106	0.072152616
1.6	0.338	0.058983048
1.85	0.2444	0.035071356
2.25	0.1306	0.017720045
2.75	0.06116	0.010908712
3.5	0.0221	0.005005996
4.5	0.00479	0.002103069
5.5	0.003504	0.010296723
