pT	sig	err
0.325	1.17	0.278388218
0.6	1.1175	0.129614814
0.75	1.2675	0.180831413
0.85	1.09	0.133416641
0.95	1.04	0.127279221
1.05	1.706	3.001732833
1.15	1.102	0.414125585
1.275	0.8476	0.192810788
1.425	0.6998	0.136532048
1.6	0.511	0.08357033
1.85	0.3976	0.06141661
2.25	0.2318	0.03327161
2.75	0.1238	0.02258318
3.5	0.0568	0.01456022
4.5	0.0365	0.012328828
5.5	0.05325	0.104752088
