pT	sig	err
0.325	5.05575	0.263013308
0.6	4.8164	0.361293509
0.75	4.1916	0.315930372
0.85	3.6526	0.278768721
0.95	3.1094	0.231667866
1.05	2.6272	0.195609304
1.15	2.24	0.167002994
1.275	1.8194	0.133244137
1.425	1.3646	0.104666136
1.6	1.02056	0.077376288
1.85	0.6512	0.049043756
2.25	0.3378	0.028
2.75	0.1578	0.017944358
3.5	0.06382	0.008751
4.5	0.03154	0.008614523
5.5	0.028	0.016795535
