pT	sig	err
0.325	11.6275	27.20025368
0.6	1.2125	0.121243557
0.75	1.2775	0.143527001
0.85	1.372	1.008811182
0.95	1.266	1.007422454
1.05	1.126	0.318904374
1.15	1.302	0.707389567
1.275	0.8656	0.125940462
1.425	0.7036	0.103392456
1.6	0.598	0.083988094
1.85	0.4094	0.048641546
2.25	0.2292	0.029291637
2.75	0.1078	0.019183326
3.5	0.052	0.011269428
4.5	0.02334	0.009261749
5.5	0.016666667	0.011357817
