2	0.500	41.59792863	5.48071395	36.03610199	4.516584001	28.34723936	3.400774504	18.59245965	2.456530568
3.500	1	3.899006782	0.6855575328	3.466375183	0.5760178055	2.561272131	0.4345485835	1.620278115	0.4388824501
4.500	2.500	0.7614588682	0.216163266	0.5884373219	0.1520655549	0.7417943575	0.1765721699	0.5410441966	1.044761347
1.350	0.150	150.3036845	20.08611076	136.4013956	16.94503286	104.3198318	13.76947367	81.5929983	11.23394861
0.800	0.100	386.5634521	50.32429457	332.3943513	42.21095547	284.2906923	35.18980753	254.6530969	30.5186452
0.700	0.100	442.7685242	56.89924644	380.8548302	47.46898749	327.6931044	40.97170749	283.7158412	36.60197882
1.100	0.100	241.2210785	31.66291904	204.6664153	26.76305635	172.9607178	21.80229894	138.0378122	18.72525917
1.200	0.150	191.7755012	24.9176702	174.3053381	21.62150712	134.2736818	17.66083807	115.1064816	14.26379901
1	0.100	282.8358288	36.86626171	248.2778569	31.8577474	201.6406601	25.71995337	170.419878	20.62371883
2.500	1	14.56019124	2.035971026	12.31307226	1.682804804	9.453912971	1.350247704	6.136447281	0.9278697966
0.900	0.100	328.5993435	42.59218246	291.1357535	36.72382652	238.4515438	30.7057519	203.0595006	25.36758565
0.150	0.350	534.9657349	67.55966859	466.2772912	57.5545025	418.4656879	52.30970099	400.6818853	49.18502189
0.500	0.200	517.8924958	66.70932134	455.6100631	56.67038758	389.1406073	49.67728691	364.1096737	45.15090956
1.700	0.300	78.52314882	10.02839003	64.73769183	8.427911627	52.27060785	6.454029611	37.87997752	5.156878245
1.500	0.200	116.7137363	14.9355602	100.7087757	12.6539291	80.22592389	9.768825678	60.69537816	8.187563963
