ptGeV	sig
0.5	0.36390344 0.1
0.7	0.39376963  0.1
0.9	0.38355136  0.1
1.1	0.34075281  0.1
1.3	0.28722219  0.1
1.5	0.23893909  0.1
1.7	0.18612713  0.1
1.9	0.14885069  0.1
2.1	0.1085742   0.1
2.35	0.07714073  0.15
2.7	0.0461976   0.2
3.15	0.02457938  0.25
3.7	0.0111689   0.3
4.5	0.00401416  0.5
5.75	0.00106683  0.75
