pT	sig	err
0.325	0.5275	0.099889939
0.6	0.699175	0.074594973
0.75	0.76625	0.088096538
0.85	0.617	0.215176672
0.95	0.596	0.211078185
1.05	0.6112	0.14883548
1.15	0.5402	0.151
1.275	0.4894	0.100369318
1.425	0.439	0.082407524
1.6	0.3512	0.06041523
1.85	0.2438	0.034161382
2.25	0.1332	0.018193405
2.75	0.06792	0.013653205
3.5	0.02104	0.004371499
4.5	0.00534	0.002355844
5.5	0.004125	0.001577973
