pT	sig	err
0.325	3.1615	0.152302331
0.6	3.2138	0.263495731
0.75	2.6496	0.204240055
0.85	2.291	0.164295466
0.95	1.933	0.138726349
1.05	1.6212	0.116099096
1.15	1.38002	0.100225546
1.275	1.11244	0.075721133
1.425	0.86616	0.060541226
1.6	0.65198	0.046237755
1.85	0.42264	0.030712538
2.25	0.22572	0.017220046
2.75	0.0998	0.010062306
3.5	0.03844	0.004601087
4.5	0.0129	0.003334666
5.5	0.00382	0.002170253
