pT	sig	err
0.325	3.2085	0.154563903
0.6	3.2176	0.249152564
0.75	2.761	0.221970719
0.85	2.3646	0.180618382
0.95	1.9616	0.140402991
1.05	1.66958	0.117004957
1.15	1.42204	0.102362298
1.275	1.156	0.082962642
1.425	0.89618	0.062196543
1.6	0.66278	0.046293628
1.85	0.43254	0.03151571
2.25	0.22228	0.016988231
2.75	0.10734	0.010873822
3.5	0.0401	0.004745524
4.5	0.01278	0.003257299
5.5	0.0037	0.001849324
