0.150	1.7943842603506157	0.14	0.02798820648399472
0.500	1.9610336393566863	0.1	0.02841245410370618
0.700	1.6399615334041755	0.1	0.03479965640981522
0.800	1.5263381207050248	0.05	0.03664928879709917
0.900	1.364548159539222	0.05	0.034264047803013835
1	1.1320318594171004	0.05	0.027162020480866578
1.100	1.0076569928319143	0.05	0.028781551214293113
1.200	0.7824806996647715	0.05	0.01800310178971383
1.350	0.5915625912914024	0.1	0.015352832429683364
1.500	0.4171459634239103	0.05	0.010653349392709326
1.700	0.3018484988242174	0.15	0.008363206863139367
2.000	0.13354525052393465	0.15	0.003950323562164364
2.500	0.04208960626865984	0.35	0.001762454890644592
3.500	0.0111078842652631	0.65	0.001317270134052963
4.500	0.002819219542294036	0.35	0.0018318321891611661
