0.150	6.074808922114569	0.14	0.08416879574211238
0.500	5.419715522281584	0.1	0.06696998727862977
0.700	4.28704130620596	0.1	0.06102174951133151
0.800	3.3551234640095107	0.05	0.03780848651661522
0.900	2.7202194304705976	0.05	0.030295098300346705
1	2.18104074000003	0.05	0.024210094289179595
1.100	1.7550076731475674	0.05	0.02113700883077278
1.200	1.4250701212166366	0.05	0.015492123288052594
1.350	1.042814587751148	0.1	0.01222239324758582
1.500	0.7345440052540425	0.05	0.008834768944582915
1.700	0.45745805508849247	0.15	0.0055631555431977665
2.000	0.2354254385097559	0.15	0.0032298710938161376
2.500	0.0781710918834053	0.35	0.0014086710437070805
3.500	0.018748340426367006	0.65	0.0007188042092250203
4.500	0.003829920686755946	0.35	0.00024786893409875195
