0.150	3.558762434325198	0.14	0.03556096251073969
0.500	3.894912241155934	0.1	0.0367048348702893
0.700	3.272439065133023	0.1	0.043762881317006785
0.800	2.9738069663988025	0.05	0.042337984175955044
0.900	2.6892334925892554	0.05	0.04095744697040797
1	2.302303212233169	0.05	0.03711944877089885
1.100	1.939254401924157	0.05	0.03353203901536799
1.200	1.555501159116571	0.05	0.023909659193426823
1.350	1.1633910753448535	0.1	0.020345017145685554
1.500	0.8194573174389514	0.05	0.014034364836189205
1.700	0.592840022996579	0.15	0.011072915761015253
2.000	0.2631210438542944	0.15	0.005235753014608487
2.500	0.08232086751540757	0.35	0.002255417093046299
3.500	0.01896262620498327	0.65	0.0012877129679039537
4.500	0.0035296400424523703	0.35	0.0005202358886118912
