pt GeV	sig
0.250446799	0.240811102
0.349463453	0.224426626
0.44694653	0.232474564
0.549033992	0.180388062
0.651121453	0.139971669
0.753214396	0.113301006
0.852212782	0.091712259
0.951208428	0.072684261
1.050206815	0.058834762
1.151522058	0.046155842
1.250342943	0.035786482
1.349168902	0.028854431
1.499558107	0.021096143
1.801412917	0.01144352
2.20103568	0.005684124
2.70161881	0.002034148
