ptGeV	sig
0.50162086	0.36390344
0.701198027	0.39376963
0.904157858	0.38355136
1.100352361	0.34075281
1.299929528	0.28722219
1.502889359	0.23893909
1.70584919	0.18612713
1.905426357	0.14885069
2.105003524	0.1085742
2.348555321	0.07714073
2.703735025	0.0461976
3.150246653	0.02457938
3.694855532	0.0111689
4.498711769	0.00401416
5.74569697	0.00106683
