pT	sig	errpT	errsig
0.325	9.0168	0	0.802029027
0.6	7.4648	0	0.078559022
0.75	6.4728	0	0.071693793
0.85	5.614	0	0.059843797
0.95	4.7884	0	0.050634376
1.05	4.0672	0	0.042932505
1.15	3.4696	0	0.037189805
1.275	2.78996	0	0.028870885
1.425	2.07644	0	0.022295183
1.6	1.55628	0	0.017050513
1.85	1.0082	0	0.011351264
2.25	0.52012	0	0.00641785
2.75	0.23356	0	0.00430516
3.5	0.0944	0	0.00219308
4.5	0.05008	0	0.002118112
5.5	0.02536	0	0.001659397
