pT	sig	errpT	errsig
0.325	4.7872	0	0.040811763
0.6	6.042	0	0.06831808
0.75	5.08	0	0.055719296
0.85	4.372	0	0.045915819
0.95	3.65836	0	0.036882017
1.05	3.09068	0	0.031016409
1.15	2.63176	0	0.027181935
1.275	2.12968	0	0.020740029
1.425	1.65568	0	0.017058816
1.6	1.23376	0	0.012754293
1.85	0.80292	0	0.008332395
2.25	0.420556	0	0.004604042
2.75	0.19412	0	0.002658643
3.5	0.07372	0	0.001266175
4.5	0.02388	0	0.000881816
5.5	0.00674	0	0.000469621
