150	0.14	12.08736680569108	0.024886211783573357
500	0.1	10.50962994705322	0.027927623299959462
700	0.1	7.9509728828522075	0.03278792240312726
800	0.05	6.489684497532513	0.029826963171467644
900	0.05	5.178087510331377	0.026471680840919568
1000	0.05	4.209559890768141	0.024144696064842833
1100	0.05	3.310196297548731	0.020957938551034613
1200	0.05	2.6582984047125127	0.016150171263176968
1350	0.1	1.9741250551186806	0.014267235792376518
1500	0.05	1.360634248480117	0.010212504700219767
1700	0.15	0.8441452339406105	0.006779785112208345
2000	0.15	0.4243570560035117	0.0039186684284100905
2500	0.35	0.13846886385765483	0.0017544081318224805
3500	0.65	0.033703433008740985	0.0009480557608017508
4500	0.35	0.006686262376579096	0.0003144191123180086
