pT	sig	err
0.325	4.6312	1.0336
0.6	4.885	0.3692
0.75	4.2252	0.3338
0.85	3.6472	0.26565391
0.95	3.113	0.232452146
1.05	2.658	0.194674087
1.15	2.269	0.170836179
1.275	1.8066	0.127039364
1.425	1.3326	0.097514102
1.6	1.0003	0.077416084
1.85	0.6592	0.049179772
2.25	0.3384	0.027838822
2.75	0.146	0.016340135
3.5	0.05896	0.009038805
4.5	0.0362	0.012207375
5.5	0.01186	0.004532108
