pT	sig	err
0.325	1.88825	0.802199476
0.6	1.000075	0.085642279
0.75	1.0265	0.089224436
0.85	1.36694	2.001446879
0.95	0.96244	0.307553069
1.05	0.99902	0.317298361
1.15	1.0022	0.306106191
1.275	0.67054	0.077088326
1.425	0.5698	0.059724367
1.6	0.4668	0.044700783
1.85	0.3216	0.029512709
2.25	0.1846	0.017832555
2.75	0.0918	0.012767145
3.5	0.04446	0.007930322
4.5	0.02344	0.008031189
5.5	0.02496	0.018063499
