pT	sig	err
0.325	1.3575	0.407062649
0.6	0.829	0.069318107
0.75	0.87425	0.082462113
0.85	0.848	0.07566373
0.95	0.8922	0.299167177
1.05	0.8186	0.247792252
1.15	1.108	0.602731283
1.275	0.67744	0.11799339
1.425	0.5462	0.071561163
1.6	0.4096	0.049213819
1.85	0.2838	0.030675723
2.25	0.1714	0.017748239
2.75	0.088	0.012369317
3.5	0.04012	0.007411478
4.5	0.02788	0.012374571
5.5	0.0546	0.101336075
