0.15	0.50	 1994	 51
0.50	0.70	 1856	 48
0.70	0.80	 1569	 41
0.80	0.90	 1367	 36
0.90	1.00	 1154	 31
1.00	1.10	 973	 26
1.10	1.20	 826	 22
1.20	1.35	 666	 18
1.35	1.50	 499	 14
1.50	1.70	 371	 10
1.70	2.00	 237.6	 6.7
2.00	2.50	 123.1	 3.6
2.50	3.50	 38.9	 1.3
3.50	4.50	 10.57	 0.81
4.50	7.00	 1.71	 0.32
